generator,target_risk_level,selection_index,sample_id,source_generator_id
lhs,low,1,lhs_low_20260813_0128,balanced_latin_hypercube_v1
lhs,low,2,lhs_low_20260813_0010,balanced_latin_hypercube_v1
lhs,low,3,lhs_low_20260813_0077,balanced_latin_hypercube_v1
lhs,medium,1,lhs_medium_20260813_0110,balanced_latin_hypercube_v1
lhs,medium,2,lhs_medium_20260813_0041,balanced_latin_hypercube_v1
lhs,medium,3,lhs_medium_20260813_0026,balanced_latin_hypercube_v1
lhs,high,1,lhs_high_20260813_0024,balanced_latin_hypercube_v1
lhs,high,2,lhs_high_20260813_0077,balanced_latin_hypercube_v1
lhs,high,3,lhs_high_20260813_0106,balanced_latin_hypercube_v1
lhs,critical,1,lhs_critical_20260813_0055,balanced_latin_hypercube_v1
lhs,critical,2,lhs_critical_20260813_0036,balanced_latin_hypercube_v1
lhs,critical,3,lhs_critical_20260813_0101,balanced_latin_hypercube_v1
gmm,low,1,gmm_low_20260813_0072,conditional_diagonal_gmm_v1
gmm,low,2,gmm_low_20260813_0012,conditional_diagonal_gmm_v1
gmm,low,3,gmm_low_20260813_0036,conditional_diagonal_gmm_v1
gmm,medium,1,gmm_medium_20260813_0102,conditional_diagonal_gmm_v1
gmm,medium,2,gmm_medium_20260813_0010,conditional_diagonal_gmm_v1
gmm,medium,3,gmm_medium_20260813_0077,conditional_diagonal_gmm_v1
gmm,high,1,gmm_high_20260813_0049,conditional_diagonal_gmm_v1
gmm,high,2,gmm_high_20260813_0079,conditional_diagonal_gmm_v1
gmm,high,3,gmm_high_20260813_0005,conditional_diagonal_gmm_v1
gmm,critical,1,gmm_critical_20260813_0067,conditional_diagonal_gmm_v1
gmm,critical,2,gmm_critical_20260813_0072,conditional_diagonal_gmm_v1
gmm,critical,3,gmm_critical_20260813_0004,conditional_diagonal_gmm_v1
cvae,low,1,cvae_low_20260813_0001,conditional_tabular_cvae_v1
cvae,low,2,cvae_low_20260813_0115,conditional_tabular_cvae_v1
cvae,low,3,cvae_low_20260813_0034,conditional_tabular_cvae_v1
cvae,medium,1,cvae_medium_20260813_0082,conditional_tabular_cvae_v1
cvae,medium,2,cvae_medium_20260813_0061,conditional_tabular_cvae_v1
cvae,medium,3,cvae_medium_20260813_0103,conditional_tabular_cvae_v1
cvae,high,1,cvae_high_20260813_0033,conditional_tabular_cvae_v1
cvae,high,2,cvae_high_20260813_0067,conditional_tabular_cvae_v1
cvae,high,3,cvae_high_20260813_0043,conditional_tabular_cvae_v1
cvae,critical,1,cvae_critical_20260813_0046,conditional_tabular_cvae_v1
cvae,critical,2,cvae_critical_20260813_0042,conditional_tabular_cvae_v1
cvae,critical,3,cvae_critical_20260813_0030,conditional_tabular_cvae_v1
