run_id,sample_id,target_risk_level,traffic_manager_seed,repeat_round,source,status,acceptance_status,acceptance_failures,runtime_verified,observed_risk_level,risk_score,target_match,collision_count,minimum_ttc_seconds,minimum_lead_gap_m,minimum_pedestrian_distance_m,sensor_status,server_status,route_status,route_ego_on_route_rate,route_lead_on_route_rate,route_both_on_route_rate,route_maximum_ego_deviation_m,route_maximum_lead_deviation_m,route_verified,rgb_frames,run_dir,metadata_path,generator,group_index,part_index,run_order
cvae_critical_20260813_0030__tm_20260821__generator_compare_v1,cvae_critical_20260813_0030,critical,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,46.29,False,0,1.716,4.393,6.617,completed,healthy,completed,1.0,1.0,1.0,0.992,0.997,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0030__tm_20260821__generator_compare_v1\20260814_203316,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0030__tm_20260821__generator_compare_v1\20260814_203316\metadata.json,cvae,5,15,57
cvae_critical_20260813_0030__tm_20260822__generator_compare_v1,cvae_critical_20260813_0030,critical,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,47.891,False,0,1.625,3.949,6.116,completed,healthy,completed,1.0,1.0,1.0,0.992,0.996,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0030__tm_20260822__generator_compare_v1\20260814_205206,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0030__tm_20260822__generator_compare_v1\20260814_205206\metadata.json,cvae,8,22,88
cvae_critical_20260813_0030__tm_20260823__generator_compare_v1,cvae_critical_20260813_0030,critical,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,46.748,False,0,1.725,4.149,6.386,completed,healthy,completed,1.0,1.0,1.0,0.992,1.0,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0030__tm_20260823__generator_compare_v1\20260814_202123,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0030__tm_20260823__generator_compare_v1\20260814_202123\metadata.json,cvae,4,10,37
cvae_critical_20260813_0042__tm_20260821__generator_compare_v1,cvae_critical_20260813_0042,critical,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,47.197,False,0,1.687,4.179,6.179,completed,healthy,completed,1.0,1.0,1.0,0.992,0.999,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0042__tm_20260821__generator_compare_v1\20260814_200951,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0042__tm_20260821__generator_compare_v1\20260814_200951\metadata.json,cvae,2,5,19
cvae_critical_20260813_0042__tm_20260822__generator_compare_v1,cvae_critical_20260813_0042,critical,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,medium,49.305,False,0,1.509,3.886,5.913,completed,healthy,completed,1.0,1.0,1.0,0.998,0.997,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0042__tm_20260822__generator_compare_v1\20260814_210231,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0042__tm_20260822__generator_compare_v1\20260814_210231\metadata.json,cvae,9,27,105
cvae_critical_20260813_0042__tm_20260823__generator_compare_v1,cvae_critical_20260813_0042,critical,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,medium,47.544,False,0,1.66,4.107,6.133,completed,healthy,completed,1.0,1.0,1.0,0.992,0.997,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0042__tm_20260823__generator_compare_v1\20260814_204701,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0042__tm_20260823__generator_compare_v1\20260814_204701\metadata.json,cvae,7,20,80
cvae_critical_20260813_0046__tm_20260821__generator_compare_v1,cvae_critical_20260813_0046,critical,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,high,53.069,False,0,1.729,4.344,3.259,completed,healthy,completed,1.0,1.0,1.0,0.992,0.996,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0046__tm_20260821__generator_compare_v1\20260814_201935,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0046__tm_20260821__generator_compare_v1\20260814_201935\metadata.json,cvae,3,9,35
cvae_critical_20260813_0046__tm_20260822__generator_compare_v1,cvae_critical_20260813_0046,critical,20260822,2,controlled_generator_comparison_v1,completed,completed,,True,high,52.977,False,0,1.735,4.367,3.259,completed,healthy,completed,1.0,1.0,1.0,0.992,0.997,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0046__tm_20260822__generator_compare_v1\20260814_203729,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0046__tm_20260822__generator_compare_v1\20260814_203729\metadata.json,cvae,6,16,64
cvae_critical_20260813_0046__tm_20260823__generator_compare_v1,cvae_critical_20260813_0046,critical,20260823,3,controlled_generator_comparison_v1,completed,completed,,True,high,53.141,False,0,1.723,4.335,3.255,completed,healthy,completed,1.0,1.0,1.0,0.999,0.995,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0046__tm_20260823__generator_compare_v1\20260814_200014,F:\Carla\test\output\generator_comparison_v1\cvae_critical_20260813_0046__tm_20260823__generator_compare_v1\20260814_200014\metadata.json,cvae,1,1,3
cvae_high_20260813_0033__tm_20260821__generator_compare_v1,cvae_high_20260813_0033,high,20260821,1,controlled_generator_comparison_v1,completed,completed,,True,medium,46.018,False,0,1.178,4.297,5.229,completed,healthy,completed,1.0,1.0,1.0,0.996,0.998,True,100,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0033__tm_20260821__generator_compare_v1\20260814_205827,F:\Carla\test\output\generator_comparison_v1\cvae_high_20260813_0033__tm_20260821__generator_compare_v1\20260814_205827\metadata.json,cvae,9,25,98
